2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (create_trade)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/import (import_trades)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (read_trades)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/export (export_trades)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (update_trade)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (delete_trade)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id}/close (close_trade)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/unrealized-pnl (get_unrealized_pnl)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /stats/ (get_stats)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /db-check (check_db)
2025-12-28 15:28:11 | INFO    | atom.api:startup_event:68 | 🚀 ATOM API Starting...
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:69 | Registered routes:
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /openapi.json (openapi)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /docs (custom_swagger_ui_html)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /redoc (redoc_html)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /test-docs (custom_docs)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → / (read_root)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (create_trade)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/import (import_trades)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (read_trades)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/export (export_trades)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (update_trade)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (delete_trade)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id}/close (close_trade)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/unrealized-pnl (get_unrealized_pnl)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /stats/ (get_stats)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /db-check (check_db)
2025-12-28 15:28:49 | INFO    | atom.api:startup_event:68 | 🚀 ATOM API Starting...
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:69 | Registered routes:
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → /openapi.json (openapi)
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → /docs (custom_swagger_ui_html)
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → /redoc (redoc_html)
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → /test-docs (custom_docs)
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → / (read_root)
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (create_trade)
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → /trades/import (import_trades)
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (read_trades)
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → /trades/export (export_trades)
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (update_trade)
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (delete_trade)
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id}/close (close_trade)
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → /trades/unrealized-pnl (get_unrealized_pnl)
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → /stats/ (get_stats)
2025-12-28 15:28:49 | DEBUG   | atom.api:startup_event:71 |   → /db-check (check_db)
2025-12-28 15:31:47 | INFO    | atom.api:startup_event:68 | 🚀 ATOM API Starting...
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:69 | Registered routes:
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → /openapi.json (openapi)
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → /docs (custom_swagger_ui_html)
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → /redoc (redoc_html)
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → /test-docs (custom_docs)
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → / (read_root)
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (create_trade)
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → /trades/import (import_trades)
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (read_trades)
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → /trades/export (export_trades)
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (update_trade)
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (delete_trade)
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id}/close (close_trade)
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → /trades/unrealized-pnl (get_unrealized_pnl)
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → /stats/ (get_stats)
2025-12-28 15:31:47 | DEBUG   | atom.api:startup_event:71 |   → /db-check (check_db)
2025-12-28 15:47:40 | DEBUG   | atom.market:get_current_prices:29 | Fetching prices for 15 tickers: ['RU000A0DKVS5', 'FLOT', 'RU000A10ANA1', 'SIBN', 'RU0009062285', 'TEST_FLIP', 'AFLT', 'ETZ5', 'T', 'TATN', 'RU0009033591', 'RU000A0JXNU8', 'RU000A107UL4', 'CNRU', 'RU0009062467']
2025-12-28 15:47:45 | DEBUG   | atom.market:get_current_prices:65 | Retrieved 6 prices
